quote,author,cat
"Bilmediğini bilmek, bilgeliğin başlangıcıdır.",Sokrates,Felsefe
"Sınanmamış bir hayat, yaşanmaya değmez.",Sokrates,Felsefe
"İnsan, kendi karakterinin mimarıdır.",Aristoteles,Felsefe
"Erdem, aşırılıklar arasındaki orta yoldur.",Aristoteles,Felsefe
"Değişmeyen tek şey değişimin kendisidir.",Herakleitos,Felsefe
"Aynı nehre iki kez giremezsin.",Herakleitos,Felsefe
"Kötülük cehaletten doğar, bilgi erdemi getirir.",Sokrates,Felsefe
"Felsefe yapmak, ölmeyi öğrenmektir.",Michel de Montaigne,Felsefe
"Düşünüyorum, öyleyse varım.",René Descartes,Felsefe
"İnsan özgür doğar, ama her yerde zincire vurulmuştur.",Jean-Jacques Rousseau,Felsefe
"Tanrı öldü ve onu biz öldürdük.",Friedrich Nietzsche,Felsefe
"Seni öldürmeyen şey seni güçlendirir.",Friedrich Nietzsche,Felsefe
"Cehennem başkalarıdır.",Jean-Paul Sartre,Felsefe
"Bir şeyin doğru olduğunu düşünmek, onu doğru yapmaz.",Immanuel Kant,Felsefe
"Aydınlanma, insanın kendi suçuyla düştüğü ergin olmama durumundan kurtulmasıdır.",Immanuel Kant,Felsefe
"Mutluluk, ruhun erdeme uygun etkinliğidir.",Aristoteles,Felsefe
"Hayat geriye bakılarak anlaşılır, ama ileriye bakılarak yaşanmalıdır.",Søren Kierkegaard,Felsefe
"Kaos içindeki bir yıldızı doğurabilmek için insanın içinde kaos taşıması gerekir.",Friedrich Nietzsche,Felsefe
"Bilgi güçtür.",Francis Bacon,Felsefe
"Var olmak, algılanmaktır.",George Berkeley,Felsefe
"İnsan bir kamıştır, ama düşünen bir kamıştır.",Blaise Pascal,Felsefe
"Kalbin akıl bilmediği nedenleri vardır.",Blaise Pascal,Felsefe
"Gerçek bilgelik, ne çok şey bildiğini değil, ne kadar az şey bildiğini anlamaktır.",Sokrates,Felsefe
"Yaşamayı öğrenmek için tüm hayatımız gerekir.",Seneca,Felsefe
"Özgürlük, kişinin kendi kendini yönetmesidir.",Immanuel Kant,Felsefe
"Motivasyon seni başlatır, alışkanlık seni devam ettirir.",Jim Ryun,Motivasyon
"Disiplin, hedefler ile başarı arasındaki köprüdür.",Jim Rohn,Motivasyon
"Başarı, gün be gün tekrarlanan küçük çabaların toplamıdır.",Robert Collier,Motivasyon
"Yapamayacağını düşündüğün şeyi yapmalısın.",Eleanor Roosevelt,Motivasyon
"Büyük işler, büyük risklerle başarılır.",Herodot,Motivasyon
"Bugün yapabileceğini yarına bırakma.",Benjamin Franklin,Motivasyon
"Kazanmayı seçmiyorum, kazanmak için çalışmayı seçiyorum.",Muhammad Ali,Motivasyon
"İmkânsız, sadece güçlünün zayıfları küçümsemek için kullandığı bir kelimedir.",Muhammad Ali,Motivasyon
"Şüphelerin, geleceğin hırsızlarıdır.",Suzy Kassem,Motivasyon
"Ya bir yol bul, ya da bir yol aç.",Hannibal,Motivasyon
"Başarısızlık, başarıya giden yolun bir parçasıdır.",Thomas Edison,Motivasyon
"Bin adımlık bir yolculuk tek bir adımla başlar.",Laozi,Motivasyon
"Kim olduğuna bakma, ne yaptığına bak.",Konfüçyüs,Motivasyon
"Düşmeyeceğin garanti değil; önemli olan her düşüşten sonra kalkmandır.",Konfüçyüs,Motivasyon
